Name,Binomial,Venomous status,Region,Body Shape,Scales,Color,Head Shape,Fangs,Habitat,Recommended Antivenom,About This Snake
Indian Cobra,Naja naja,1,Assam; West Bengal; Odisha; Maharashtra; Tamil Nadu; Karnataka; Kerala; Rajasthan; Uttar Pradesh,Slender,Smooth,Brown,Hooded,Fixed,Farmlands,Polyvalent Antivenom,"A hooded venomous snake commonly found near farms, forests, and human settlements across India."
Monocled Cobra,Naja kaouthia,1,Assam; Nagaland; Manipur; Mizoram; Tripura; Meghalaya; West Bengal,Elongated,Glossy,Olive,Rounded,Hollow,Wetlands,Polyvalent Antivenom,Recognized by its circular hood mark and commonly seen in northeastern India and marshy regions.
King Cobra,Ophiophagus hannah,1,Nagaland; Assam; Arunachal Pradesh; Meghalaya; Kerala; Karnataka; Tamil Nadu,Massive,Ridged,Greenish,Broad,Short,Rainforests,King Cobra Antivenom,"The world's longest venomous snake, mainly inhabiting dense forests and feeding on other snakes."
Common Krait,Bungarus caeruleus,1,Punjab; Haryana; Uttar Pradesh; Bihar; Maharashtra; Andhra Pradesh; Tamil Nadu,Cylindrical,Hexagonal,Black,Flattened,Needlelike,Villages,Polyvalent Antivenom,A nocturnal highly venomous snake often entering houses and hiding in dark places.
Banded Krait,Bungarus fasciatus,1,Assam; Nagaland; West Bengal; Odisha; Bihar; Jharkhand; Tripura,Triangular,Striped,Yellow,Blunt,Venomous,Grasslands,Polyvalent Antivenom,Distinctive yellow-black banded snake usually found near water bodies and dense vegetation.
Sind Krait,Bungarus sindanus,1,Rajasthan; Gujarat; Punjab,Robust,Glossy,Dark,Narrow,Sharp,Deserts,Polyvalent Antivenom,A highly venomous nocturnal krait adapted to dry and semi-arid regions of western India.
Walls Krait,Bungarus walli,1,Assam; West Bengal; Meghalaya; Arunachal Pradesh,Slim,Silky,Bluish,Oval,Curved,Forests,Polyvalent Antivenom,A rare venomous krait species mostly found in moist forests of eastern India.
Greater Black Krait,Bungarus niger,1,Assam; Nagaland; Arunachal Pradesh; Meghalaya,Heavy,Smooth,Jetblack,Small,Injecting,Hillsides,Polyvalent Antivenom,A dark-colored venomous krait inhabiting hilly forest regions of Northeast India.
Andaman Cobra,Naja sagittifera,1,Andaman Islands,Stout,Matte,Brownish,Hooded,Fixed,Mangroves,Polyvalent Antivenom,An island cobra species native to the tropical forests and coastal regions of the Andamans.
Nicobar Cobra,Naja sumatrana,1,Nicobar Islands,Compact,Shiny,Blackish,Rounded,Hollow,Woodlands,Polyvalent Antivenom,A rare cobra species inhabiting dense tropical habitats across the Nicobar Islands.
Slender Coral Snake,Calliophis melanurus,1,Kerala; Karnataka; Tamil Nadu; Goa,Thin,Sleek,Crimson,Tapered,Minute,Leaflitter,Not Applicable,A small secretive coral snake usually found beneath forest debris in moist habitats.
Bibrons Coral Snake,Calliophis bibroni,1,Tamil Nadu; Kerala; Karnataka; Andhra Pradesh,Flexible,Polished,Orange,Pointed,Grooved,Shrublands,Not Applicable,A brightly colored burrowing coral snake active mainly during nighttime in southern India.
Indian Coral Snake,Calliophis nigrescens,1,Maharashtra; Goa; Karnataka; Kerala; Tamil Nadu,Slender,Glossy,Black,Streamlined,Short,Forests,Not Applicable,A venomous forest-dwelling coral snake recognized by its dark body and narrow shape.
Blue Coral Snake,Calliophis bivirgatus,1,Andaman Islands; Nicobar Islands,Ribbonlike,Smooth,Bluish,Elongated,Sharp,Rainforests,Not Applicable,A vividly colored coral snake known for its long venom glands and secretive behavior.
Black Coral Snake,Sinomicrurus macclellandi,1,Assam; Arunachal Pradesh; Nagaland; Manipur,Cylindrical,Banded,Blackish,Rounded,Hollow,Hills,Not Applicable,A small venomous coral snake commonly found in cool forested hill regions.
Himalayan Coral Snake,Calliophis himalayanus,1,Uttarakhand; Himachal Pradesh; Arunachal Pradesh; Sikkim,Slender,Velvety,Maroon,Narrow,Tiny,Mountains,Not Applicable,A rare venomous coral snake inhabiting cool Himalayan forest ecosystems and rocky slopes.
Sea Krait,Laticauda colubrina,1,Andaman Islands; Nicobar Islands,Flattened,Banded,Grayish,Oval,Retractable,Coasts,Sea Snake Antivenom,An amphibious venomous snake spending time both in seawater and on coastal land.
Yellow-lipped Sea Krait,Laticauda colubrina,1,Andaman Islands; Nicobar Islands,Streamlined,Smooth,Striped,Blunt,Hooked,Reefs,Sea Snake Antivenom,Recognized by its yellow snout and banded body near tropical island shorelines.
Annulated Sea Snake,Hydrophis cyanocinctus,1,Odisha; Andhra Pradesh; Tamil Nadu; Andaman Islands,Compressed,Ringed,Olive,Tapered,Venomous,Seas,Sea Snake Antivenom,A highly venomous marine snake commonly seen in warm coastal waters of India.
Beaked Sea Snake,Hydrophis schistosus,1,Gujarat; Maharashtra; Kerala; Tamil Nadu; Odisha,Aquatic,Rough,Gray,Broad,Curved,Estuaries,Sea Snake Antivenom,"One of the most venomous sea snakes, usually inhabiting shallow coastal and estuarine waters."
Hook-nosed Sea Snake,Enhydrina schistosa,1,Gujarat; Maharashtra; Kerala; Tamil Nadu; Odisha,Compressed,Ridged,Silver,Hooked,Rearward,Estuaries,Sea Snake Antivenom,A dangerous marine snake recognized by its hooked snout and strong swimming ability.
